Ticker,Price,AVG Return %,Num Shares to Buy
VIAC,$61.71,75.8%,32
DISCA,$47.49,74.8%,42
FCX,$33.90,72.8%,58
TWTR,$74.55,69.6%,26
DISCK,$42.40,64.5%,47
PYPL,$307.17,63.1%,6
SIVB,$531.39,57.8%,3
ALGN,$619.85,56.9%,3
KSS,$52.09,56.5%,38
TPR,$40.94,52.9%,48
AMAT,$123.72,52.6%,16
ILMN,$492.77,51.4%,4
UAA,$23.00,50.2%,86
ZBRA,$504.99,50.1%,3
IVZ,$23.09,49.7%,86
LB,$51.30,49.5%,38
KLAC,$337.52,46.8%,5
APTV,$159.94,46.6%,12
CARR,$38.16,46.2%,52
MU,$91.81,45.6%,21
NWSA,$24.77,45.4%,80
MOS,$31.86,44.4%,62
GM,$55.65,44.4%,35
URI,$293.20,43.9%,6
FANG,$70.21,43.8%,28
OXY,$27.44,43.7%,72
UA,$19.05,43.0%,104
NWS,$23.93,42.9%,83
ALB,$165.10,42.6%,12
DE,$320.80,41.3%,6
LRCX,$602.78,41.1%,3
SNPS,$294.33,37.8%,6
F,$11.61,37.5%,172
WDC,$69.85,37.4%,28
IPGP,$258.98,37.3%,7
MHK,$179.12,37.2%,11
FFIV,$208.57,36.7%,9
NVDA,$633.86,36.6%,3
PWR,$80.54,35.9%,24
STX,$73.15,35.8%,27
SWKS,$196.67,35.8%,10
IDXX,$545.08,35.1%,3
LLY,$214.10,34.6%,9
AES,$29.64,34.3%,67
AVGO,$504.17,33.1%,3
DVN,$21.69,32.9%,92
NTAP,$70.54,32.8%,28
KEYS,$155.51,32.8%,12
MCHP,$163.95,32.5%,12
CDNS,$149.06,32.5%,13
